Zip,City,State,Latitude,Longitude,geopoint,Demand,DC_Candidate
19901,Dover,DE,39.16426,-75.51163,"39.16426,-75.51163",6745,0
08091,West Berlin,NJ,39.807695,-74.93392,"39.807695,-74.93392",4639,0
30014,Covington,GA,33.581406,-83.851,"33.581406,-83.851",4544,0
10547,Mohegan Lake,NY,41.314676,-73.85118,"41.314676,-73.85118",6591,0
90065,Los Angeles,CA,34.107559,-118.22663,"34.107559,-118.22663",4714,0
98133,Seattle,WA,47.733852,-122.34461,"47.733852,-122.34461",6292,0
76040,Euless,TX,32.826172,-97.09721,"32.826172,-97.09721",4151,0
76048,Granbury,TX,32.424695,-97.78894,"32.424695,-97.78894",6723,0
13820,Oneonta,NY,42.469761,-75.05192,"42.469761,-75.05192",6558,0
92024,Encinitas,CA,33.053092,-117.26855,"33.053092,-117.26855",7531,0
95240,Lodi,CA,38.12463,-121.25039,"38.12463,-121.25039",6930,0
78155,Seguin,TX,29.56478,-97.96283,"29.56478,-97.96283",5207,0
74137,Tulsa,OK,36.025405,-95.92953,"36.025405,-95.92953",6076,0
47904,Lafayette,IN,40.428735,-86.8768,"40.428735,-86.8768",4802,0
17349,New Freedom,PA,39.753369,-76.68112,"39.753369,-76.68112",6176,0
33615,Tampa,FL,28.005446,-82.57776,"28.005446,-82.57776",6176,0
95482,Ukiah,CA,39.154946,-123.20088,"39.154946,-123.20088",5956,0
59901,Kalispell,MT,48.201414,-114.32202,"48.201414,-114.32202",7125,1
34654,New Port Richey,FL,28.295714,-82.61782,"28.295714,-82.61782",5925,0
55369,Osseo,MN,45.120764,-93.43183,"45.120764,-93.43183",7622,0
43055,Newark,OH,40.079115,-82.40054,"40.079115,-82.40054",7560,0
77320,Huntsville,TX,30.805099,-95.50719,"30.805099,-95.50719",4756,0
10940,Middletown,NY,41.449364,-74.43951,"41.449364,-74.43951",4273,0
61761,Normal,IL,40.515485,-88.98629,"40.515485,-88.98629",6383,0
77449,Katy,TX,29.825908,-95.7301,"29.825908,-95.7301",4388,0
14228,Buffalo,NY,43.023347,-78.79494,"43.023347,-78.79494",5641,0
03801,Portsmouth,NH,43.070188,-70.77684,"43.070188,-70.77684",7114,0
32763,Orange City,FL,28.945857,-81.30512,"28.945857,-81.30512",5466,0
30114,Canton,GA,34.228478,-84.50402,"34.228478,-84.50402",6591,0
70062,Kenner,LA,29.991051,-90.2469,"29.991051,-90.2469",4888,1
32807,Orlando,FL,28.546897,-81.30774,"28.546897,-81.30774",4257,0
33950,Punta Gorda,FL,26.914393,-82.04106,"26.914393,-82.04106",5345,0
43460,Rossford,OH,41.603797,-83.5619,"41.603797,-83.5619",6105,1
30141,Hiram,GA,33.867574,-84.77103,"33.867574,-84.77103",6339,0
32177,Palatka,FL,29.666218,-81.67401,"29.666218,-81.67401",7942,0
11756,Levittown,NY,40.724883,-73.51739,"40.724883,-73.51739",7191,0
91340,San Fernando,CA,34.284935,-118.43821,"34.284935,-118.43821",6827,0
92801,Anaheim,CA,33.844814,-117.95381,"33.844814,-117.95381",4430,0
83404,Idaho Falls,ID,43.465998,-112.01425,"43.465998,-112.01425",7154,1
76137,Fort Worth,TX,32.86814,-97.28566000000001,"32.86814,-97.28566",4091,0
73160,Oklahoma City,OK,35.34377,-97.48596,"35.34377,-97.48596",5920,0
95492,Windsor,CA,38.54486,-122.80785,"38.54486,-122.80785",6446,0
45069,West Chester,OH,39.343757,-84.40249,"39.343757,-84.40249",6659,0
48051,New Baltimore,MI,42.682081,-82.83068,"42.682081,-82.83068",5589,0
37830,Oak Ridge,TN,35.992691,-84.27044,"35.992691,-84.27044",6956,0
15017,Bridgeville,PA,40.351802,-80.11534,"40.351802,-80.11534",6681,0
00960,Bayamon,PR,18.34487,-66.166014,"18.34487,-66.166014",4084,1
41017,Ft Mitchell,KY,39.036361,-84.56801,"39.036361,-84.56801",6251,0
32810,Orlando,FL,28.619445,-81.42695,"28.619445,-81.42695",4324,0
35242,Birmingham,AL,33.409582,-86.69684,"33.409582,-86.69684",4774,0
32506,Pensacola,FL,30.408807,-87.31919,"30.408807,-87.31919",7012,0
27615,Raleigh,NC,35.891726,-78.63203,"35.891726,-78.63203",5071,0
39213,Jackson,MS,32.356489,-90.2106,"32.356489,-90.2106",4639,0
02062,Norwood,MA,42.185974,-71.20166,"42.185974,-71.20166",6036,0
21117,Owings Mills,MD,39.419105,-76.78388,"39.419105,-76.78388",5155,0
48044,Macomb,MI,42.650265,-82.93416,"42.650265,-82.93416",4972,0
78620,Dripping Springs,TX,30.24108,-98.10753,"30.24108,-98.10753",6916,0
94303,Palo Alto,CA,37.449888,-122.12749,"37.449888,-122.12749",5204,0
84701,Richfield,UT,38.765929,-112.08397,"38.765929,-112.08397",6024,0
98383,Silverdale,WA,47.667257,-122.69055,"47.667257,-122.69055",7918,0
61354,Peru,IL,41.330789,-89.1299,"41.330789,-89.1299",5167,0
93711,Fresno,CA,36.831723,-119.83198,"36.831723,-119.83198",5684,0
11743,Huntington,NY,40.867498,-73.41146,"40.867498,-73.41146",7299,0
12701,Monticello,NY,41.653071,-74.69748,"41.653071,-74.69748",7002,0
44118,Cleveland,OH,41.499202,-81.55434,"41.499202,-81.55434",6839,0
66048,Leavenworth,KS,39.298776,-94.93555,"39.298776,-94.93555",6767,0
78628,Georgetown,TX,30.674349,-97.72338,"30.674349,-97.72338",6957,0
02747,North Dartmouth,MA,41.637916,-70.99076,"41.637916,-70.99076",4373,0
85374,Surprise,AZ,33.643508,-112.38502,"33.643508,-112.38502",5877,0
32097,Yulee,FL,30.63928,-81.59442,"30.63928,-81.59442",4560,0
70615,Lake Charles,LA,30.239906,-93.14977,"30.239906,-93.14977",5329,0
14048,Dunkirk,NY,42.479471,-79.32805,"42.479471,-79.32805",5605,0
85031,Phoenix,AZ,33.493496,-112.17108,"33.493496,-112.17108",6217,0
03862,North Hampton,NH,42.97778,-70.83055,"42.97778,-70.83055",5699,0
27705,Durham,NC,36.015992,-78.95911,"36.015992,-78.95911",5472,0
84065,Riverton,UT,40.503746,-111.96327,"40.503746,-111.96327",7167,1
85716,Tucson,AZ,32.242275,-110.92533,"32.242275,-110.92533",7269,1
87301,Gallup,NM,35.534253,-108.84857,"35.534253,-108.84857",7678,0
91402,Panorama City,CA,34.223753,-118.44322,"34.223753,-118.44322",4256,0
05201,Bennington,VT,42.882231,-73.17873,"42.882231,-73.17873",5905,0
76801,Brownwood,TX,31.73003,-99.00605,"31.73003,-99.00605",7762,0
53147,Lake Geneva,WI,42.587613,-88.45828,"42.587613,-88.45828",5316,0
33328,Fort Lauderdale,FL,26.062016,-80.27202,"26.062016,-80.27202",5954,0
08050,Manahawkin,NJ,39.707575,-74.25933,"39.707575,-74.25933",4816,0
07936,East Hanover,NJ,40.820012,-74.36474,"40.820012,-74.36474",7933,0
00979,Carolina,PR,18.431885,-66.0127,"18.431885,-66.0127",6435,0
95608,Carmichael,CA,38.628371,-121.32702,"38.628371,-121.32702",5634,0
92203,Indio,CA,33.75307,-116.24688,"33.75307,-116.24688",7626,0
60134,Geneva,IL,41.885728,-88.31957,"41.885728,-88.31957",4973,0
32822,Orlando,FL,28.494931,-81.28949,"28.494931,-81.28949",4368,0
15401,Uniontown,PA,39.89822,-79.7311,"39.89822,-79.7311",6023,0
77037,Houston,TX,29.885451,-95.39552,"29.885451,-95.39552",6965,0
78224,San Antonio,TX,29.333436,-98.53934,"29.333436,-98.53934",4201,0
78504,Mcallen,TX,26.26273,-98.23082,"26.26273,-98.23082",6431,0
72019,North Little Rock,AR,34.804791,-92.28925,"34.804791,-92.28925",5536,0
17042,Lebanon,PA,40.31977,-76.42344,"40.31977,-76.42344",5930,0
71203,Monroe,LA,32.547067,-92.04384,"32.547067,-92.04384",6418,0
43402,Bowling Green,OH,41.388519,-83.65795,"41.388519,-83.65795",4555,0
81212,Canon City,CO,38.464212,-105.27973,"38.464212,-105.27973",4954,0
39402,Hattiesburg,MS,31.325437,-89.37926,"31.325437,-89.37926",7455,0
32025,Lake City,FL,30.155229,-82.62165,"30.155229,-82.62165",6071,0
97756,Redmond,OR,44.272796,-121.19173,"44.272796,-121.19173",5723,0
19090,Willow Grove,PA,40.145859,-75.1216,"40.145859,-75.1216",4130,0
74133,Tulsa,OK,36.04309,-95.88417,"36.04309,-95.88417",6425,0
33434,Boca Raton,FL,26.382408,-80.16699,"26.382408,-80.16699",6146,0
75402,Greenville,TX,33.082411,-96.08977,"33.082411,-96.08977",7646,0
85331,Cave Creek,AZ,33.789204,-111.96301,"33.789204,-111.96301",4931,0
87031,Los Lunas,NM,34.786133,-106.70536,"34.786133,-106.70536",6782,0
99019,Liberty Lake,WA,47.656171,-117.08628,"47.656171,-117.08628",6171,0
07652,Paramus,NJ,40.947107,-74.07047,"40.947107,-74.07047",5987,1
92831,Fullerton,CA,33.878981,-117.89325,"33.878981,-117.89325",6642,0
37920,Knoxville,TN,35.923517,-83.89042,"35.923517,-83.89042",5966,0
21224,Baltimore,MD,39.284607,-76.55696,"39.284607,-76.55696",6787,0
27529,Garner,NC,35.679194,-78.60246,"35.679194,-78.60246",7220,0
03060,Nashua,NH,42.748888,-71.46492,"42.748888,-71.46492",4209,0
77093,Houston,TX,29.862024,-95.33967,"29.862024,-95.33967",6610,0
75074,Plano,TX,33.028921,-96.68102,"33.028921,-96.68102",5435,0
78660,Pflugerville,TX,30.450122,-97.623,"30.450122,-97.623",6830,0
78745,Austin,TX,30.207559,-97.79575,"30.207559,-97.79575",7113,0
76710,Waco,TX,31.535916,-97.18588,"31.535916,-97.18588",7130,0
30019,Dacula,GA,33.981721,-83.88302,"33.981721,-83.88302",6753,0
97045,Oregon City,OR,45.344246,-122.58464,"45.344246,-122.58464",7108,1
77068,Houston,TX,30.007886,-95.48532,"30.007886,-95.48532",6826,0
94577,San Leandro,CA,37.722279,-122.15702,"37.722279,-122.15702",4086,0
37013,Antioch,TN,36.055115,-86.64782,"36.055115,-86.64782",7115,0
68137,Omaha,NE,41.204631,-96.12108,"41.204631,-96.12108",4872,0
15101,Allison Park,PA,40.570915,-79.96033,"40.570915,-79.96033",6059,0
84720,Cedar City,UT,37.75164,-113.16557,"37.75164,-113.16557",6818,0
32068,Middleburg,FL,30.074926,-81.87932,"30.074926,-81.87932",4307,0
32073,Orange Park,FL,30.160965,-81.72916,"30.160965,-81.72916",5104,0
48858,Mount Pleasant,MI,43.60616,-84.78306,"43.60616,-84.78306",6080,0
02451,Waltham,MA,42.393029,-71.24771,"42.393029,-71.24771",5206,0
44143,Cleveland,OH,41.550318,-81.48175,"41.550318,-81.48175",5152,0
33027,Hollywood,FL,25.981409,-80.34491,"25.981409,-80.34491",6854,0
71730,El Dorado,AR,33.218456,-92.64911,"33.218456,-92.64911",4275,0
86001,Flagstaff,AZ,35.279872,-111.72256,"35.279872,-111.72256",5198,0
03561,Littleton,NH,44.313606,-71.79751,"44.313606,-71.79751",5578,0
32222,Jacksonville,FL,30.230272,-81.81255,"30.230272,-81.81255",5395,0
32809,Orlando,FL,28.463482,-81.38814,"28.463482,-81.38814",5208,0
20186,Warrenton,VA,38.707135,-77.8145,"38.707135,-77.8145",6492,0
21401,Annapolis,MD,38.997511,-76.49803,"38.997511,-76.49803",6536,0
81303,Durango,CO,37.222311,-107.653131,"37.222311,-107.653131",7661,0
78759,Austin,TX,30.406169,-97.75743,"30.406169,-97.75743",6334,0
04401,Bangor,ME,44.81777,-68.78952,"44.81777,-68.78952",5304,0
16323,Franklin,PA,41.407366,-79.83921,"41.407366,-79.83921",4637,0
95123,San Jose,CA,37.244426,-121.83246,"37.244426,-121.83246",4770,0
86404,Lake Havasu City,AZ,34.546899,-114.32546,"34.546899,-114.32546",7587,0
67846,Garden City,KS,37.976008,-100.82503,"37.976008,-100.82503",4094,0
23230,Richmond,VA,37.580346,-77.48831,"37.580346,-77.48831",7298,0
11727,Coram,NY,40.884895,-73.00501,"40.884895,-73.00501",5899,0
93230,Hanford,CA,36.327063,-119.6451,"36.327063,-119.6451",7341,0
48532,Flint,MI,43.005477,-83.76098,"43.005477,-83.76098",5904,0
00850,Kingshill,VI,17.734211,-64.734694,"17.734211,-64.734694",6344,1
65804,Springfield,MO,37.161299,-93.2519,"37.161299,-93.2519",5352,0
60443,Matteson,IL,41.503468,-87.73695,"41.503468,-87.73695",7091,0
62305,Quincy,IL,39.96008,-91.302633,"39.96008,-91.302633",4607,0
97838,Hermiston,OR,45.846442,-119.28423,"45.846442,-119.28423",7912,0
48642,Midland,MI,43.652404,-84.21671,"43.652404,-84.21671",5434,0
51501,Council Bluffs,IA,41.251631,-95.87447,"41.251631,-95.87447",6498,0
20817,Bethesda,MD,38.996842,-77.13519,"38.996842,-77.13519",5272,0
90630,Cypress,CA,33.817481,-118.0399,"33.817481,-118.0399",4180,0
81008,Pueblo,CO,38.370203,-104.61964,"38.370203,-104.61964",6371,0
67501,Hutchinson,KS,38.034292,-97.92382,"38.034292,-97.92382",7052,0
47712,Evansville,IN,37.966292,-87.63664,"37.966292,-87.63664",7901,0
38655,Oxford,MS,34.345016,-89.50735,"34.345016,-89.50735",7854,0
32534,Pensacola,FL,30.526345,-87.27734,"30.526345,-87.27734",7936,0
12065,Clifton Park,NY,42.853676,-73.78445,"42.853676,-73.78445",7332,0
39503,Gulfport,MS,30.461786,-89.10381,"30.461786,-89.10381",4749,0
92284,Yucca Valley,CA,34.161795,-116.41246,"34.161795,-116.41246",6187,0
06477,Orange,CT,41.279547,-73.02541,"41.279547,-73.02541",5020,0
30294,Ellenwood,GA,33.639658,-84.26822,"33.639658,-84.26822",6646,0
19464,Pottstown,PA,40.253496,-75.63481,"40.253496,-75.63481",7533,0
32405,Panama City,FL,30.195424,-85.66458,"30.195424,-85.66458",6937,0
53207,Milwaukee,WI,42.985465,-87.89998,"42.985465,-87.89998",5645,0
33411,West Palm Beach,FL,26.719596,-80.22077,"26.719596,-80.22077",4843,0
42701,Elizabethtown,KY,37.704287,-85.86403,"37.704287,-85.86403",6744,0
37921,Knoxville,TN,35.973731,-83.97413,"35.973731,-83.97413",5552,0
61820,Champaign,IL,40.114931,-88.24322,"40.114931,-88.24322",7224,0
48076,Southfield,MI,42.499335,-83.22829,"42.499335,-83.22829",4925,0
27407,Greensboro,NC,36.025379,-79.87112,"36.025379,-79.87112",6197,0
32084,Saint Augustine,FL,29.87131,-81.29464,"29.87131,-81.29464",5134,0
03054,Merrimack,NH,42.858053,-71.51216,"42.858053,-71.51216",4025,0
79936,El Paso,TX,31.766355,-106.29828,"31.766355,-106.29828",5488,0
13790,Johnson City,NY,42.125725,-75.96686,"42.125725,-75.96686",4956,0
29609,Greenville,SC,34.889217,-82.39364,"34.889217,-82.39364",5913,0
30062,Marietta,GA,33.99605,-84.47464,"33.99605,-84.47464",6934,0
73149,Oklahoma City,OK,35.395362,-97.49701,"35.395362,-97.49701",5141,0
29301,Spartanburg,SC,34.940921,-81.98682,"34.940921,-81.98682",5469,1
85710,Tucson,AZ,32.213291,-110.82559,"32.213291,-110.82559",5619,0
32218,Jacksonville,FL,30.449096,-81.65651,"30.449096,-81.65651",6721,0
31520,Brunswick,GA,31.166786,-81.49213,"31.166786,-81.49213",5896,0
95742,Rancho Cordova,CA,38.607756,-121.18367,"38.607756,-121.18367",4928,0
92376,Rialto,CA,34.109511,-117.37617,"34.109511,-117.37617",7300,0
36066,Prattville,AL,32.459435,-86.42746,"32.459435,-86.42746",5531,0
59718,Bozeman,MT,45.680811,-111.137,"45.680811,-111.137",6811,0
30809,Evans,GA,33.551145,-82.13949,"33.551145,-82.13949",6169,0
07067,Colonia,NJ,40.591653,-74.31341,"40.591653,-74.31341",5350,0
72032,Conway,AR,35.075467,-92.43401,"35.075467,-92.43401",4469,0
95834,Sacramento,CA,38.642805,-121.50466,"38.642805,-121.50466",6335,0
63125,Saint Louis,MO,38.524066,-90.2895,"38.524066,-90.2895",4525,0
30269,Peachtree City,GA,33.398992,-84.57062,"33.398992,-84.57062",5863,0
19428,Conshohocken,PA,40.077736,-75.30509,"40.077736,-75.30509",5720,0
97146,Warrenton,OR,46.136322,-123.91753,"46.136322,-123.91753",5176,0
91320,Newbury Park,CA,34.175038,-118.93956,"34.175038,-118.93956",4591,0
30214,Fayetteville,GA,33.47875,-84.47668,"33.47875,-84.47668",6089,0
92705,Santa Ana,CA,33.762117,-117.81828,"33.762117,-117.81828",6322,0
77505,Pasadena,TX,29.650492,-95.14632,"29.650492,-95.14632",7624,0
62025,Edwardsville,IL,38.819297,-89.9551,"38.819297,-89.9551",7510,0
70791,Zachary,LA,30.655578,-91.14015,"30.655578,-91.14015",4207,0
37204,Nashville,TN,36.112058,-86.77626,"36.112058,-86.77626",6827,0
55337,Burnsville,MN,44.770297,-93.27302,"44.770297,-93.27302",4166,0
14615,Rochester,NY,43.204695,-77.65194,"43.204695,-77.65194",6159,0
20743,Capitol Heights,MD,38.886812,-76.90645,"38.886812,-76.90645",7421,0
06776,New Milford,CT,41.581494,-73.41313,"41.581494,-73.41313",5153,0
93312,Bakersfield,CA,35.39068,-119.18583,"35.39068,-119.18583",6783,0
94601,Oakland,CA,37.776835,-122.21792,"37.776835,-122.21792",5910,0
44512,Youngstown,OH,41.032675,-80.66467,"41.032675,-80.66467",6860,0
72404,Jonesboro,AR,35.781707,-90.74506,"35.781707,-90.74506",4216,1
73134,Oklahoma City,OK,35.612359,-97.57152,"35.612359,-97.57152",7453,0
30513,Blue Ridge,GA,34.851171,-84.32905,"34.851171,-84.32905",4024,0
60051,Mchenry,IL,42.324761,-88.452481,"42.324761,-88.452481",4067,0
83852,Ponderay,ID,48.30476,-116.53305,"48.30476,-116.53305",7026,0
98030,Kent,WA,47.369098,-122.192276,"47.369098,-122.192276",5007,0
38866,Saltillo,MS,34.360547,-88.68079,"34.360547,-88.68079",7843,0
92408,San Bernardino,CA,34.080662,-117.27357,"34.080662,-117.27357",6282,0
43606,Toledo,OH,41.671761,-83.6064,"41.671761,-83.6064",5740,0
43612,Toledo,OH,41.706048,-83.5577,"41.706048,-83.5577",6022,0
01501,Auburn,MA,42.20361,-71.83843,"42.20361,-71.83843",4291,0
59404,Great Falls,MT,47.514307,-111.34499,"47.514307,-111.34499",5750,0
32907,Palm Bay,FL,28.012241,-80.67729,"28.012241,-80.67729",5022,0
32127,Daytona Beach,FL,29.116361,-80.98175,"29.116361,-80.98175",6749,0
39110,Madison,MS,32.484979,-90.11552,"32.484979,-90.11552",7781,0
61115,Machesney Park,IL,42.352539,-89.04186,"42.352539,-89.04186",6775,0
91304,Canoga Park,CA,34.218654,-118.62538,"34.218654,-118.62538",6603,0
75160,Terrell,TX,32.747747,-96.28923,"32.747747,-96.28923",6080,0
07054,Parsippany,NJ,40.860149,-74.4171,"40.860149,-74.4171",7083,0
23320,Chesapeake,VA,36.761698,-76.24511,"36.761698,-76.24511",5640,0
23322,Chesapeake,VA,36.687543,-76.22905,"36.687543,-76.22905",6260,0
85023,Phoenix,AZ,33.638271,-112.09341,"33.638271,-112.09341",5162,0
90047,Los Angeles,CA,33.958464,-118.30998,"33.958464,-118.30998",5718,0
11433,Jamaica,NY,40.696538,-73.78734,"40.696538,-73.78734",5445,0
85705,Tucson,AZ,32.260316,-110.98534,"32.260316,-110.98534",7709,0
02360,Plymouth,MA,41.894676,-70.61999,"41.894676,-70.61999",7740,0
30144,Kennesaw,GA,34.038949,-84.59706,"34.038949,-84.59706",4623,0
54650,Onalaska,WI,43.899664,-91.22963,"43.899664,-91.22963",7560,0
89511,Reno,NV,39.403178,-119.7606,"39.403178,-119.7606",4770,0
30742,Fort Oglethorpe,GA,34.948979,-85.25212,"34.948979,-85.25212",5563,0
33619,Tampa,FL,27.94605,-82.37525,"27.94605,-82.37525",5241,0
33710,Saint Petersburg,FL,27.788637,-82.72244,"27.788637,-82.72244",6711,0
19802,Wilmington,DE,39.756213,-75.53312,"39.756213,-75.53312",4821,0
12524,Fishkill,NY,41.537232,-73.8972,"41.537232,-73.8972",4307,0
52402,Cedar Rapids,IA,42.021016,-91.65231,"42.021016,-91.65231",5198,0
07003,Bloomfield,NJ,40.803,-74.18895,"40.803,-74.18895",5172,0
33023,Hollywood,FL,25.989119,-80.21318,"25.989119,-80.21318",6997,0
94565,Pittsburg,CA,38.017917,-121.90502,"38.017917,-121.90502",5565,0
60155,Broadview,IL,41.857931,-87.85477,"41.857931,-87.85477",7651,0
44004,Ashtabula,OH,41.871212,-80.79178,"41.871212,-80.79178",6595,0
75024,Plano,TX,33.07707,-96.79859,"33.07707,-96.79859",4807,0
30024,Suwanee,GA,34.052698,-84.07485,"34.052698,-84.07485",7465,0
75013,Allen,TX,33.106582,-96.69402,"33.106582,-96.69402",6121,0
94070,San Carlos,CA,37.499175,-122.26655,"37.499175,-122.26655",4297,0
73132,Oklahoma City,OK,35.552755,-97.63571,"35.552755,-97.63571",6967,0
33914,Cape Coral,FL,26.579862,-82.00227,"26.579862,-82.00227",7971,0
35210,Birmingham,AL,33.546051,-86.66963,"33.546051,-86.66963",7886,0
41076,Newport,KY,39.019185,-84.44204,"39.019185,-84.44204",4730,0
80504,Longmont,CO,40.160138,-105.01772,"40.160138,-105.01772",5970,0
06611,Trumbull,CT,41.256129,-73.21227,"41.256129,-73.21227",6924,0
33442,Deerfield Beach,FL,26.309757,-80.14548,"26.309757,-80.14548",5795,0
19958,Lewes,DE,38.746207,-75.16282,"38.746207,-75.16282",5823,0
36609,Mobile,AL,30.662735,-88.16255,"30.662735,-88.16255",6825,1
98271,Marysville,WA,48.093129,-122.21614,"48.093129,-122.21614",7466,0
85032,Phoenix,AZ,33.62414,-112.00416,"33.62414,-112.00416",7611,0
63005,Chesterfield,MO,38.646981,-90.63155,"38.646981,-90.63155",4429,0
95073,Soquel,CA,37.007916,-121.95072,"37.007916,-121.95072",4199,1
67220,Wichita,KS,37.745561,-97.27841,"37.745561,-97.27841",5447,0
98409,Tacoma,WA,47.208987,-122.48053,"47.208987,-122.48053",5085,0
91351,Canyon Country,CA,34.424794,-118.44513,"34.424794,-118.44513",6389,0
20176,Leesburg,VA,39.138978,-77.54519,"39.138978,-77.54519",4865,0
92264,Palm Springs,CA,33.798669,-116.51887,"33.798669,-116.51887",7116,0
88310,Alamogordo,NM,32.839921,-105.97561,"32.839921,-105.97561",6850,0
07094,Secaucus,NJ,40.7885,-74.06,"40.7885,-74.06",5954,0
53222,Milwaukee,WI,43.083261,-88.02823,"43.083261,-88.02823",5112,0
48059,Fort Gratiot,MI,43.088742,-82.48614,"43.088742,-82.48614",6081,0
73072,Norman,OK,35.212681,-97.48672,"35.212681,-97.48672",6693,0
22192,Woodbridge,VA,38.678451,-77.30657,"38.678451,-77.30657",6280,0
93117,Goleta,CA,34.443746,-119.94215,"34.443746,-119.94215",4767,0
94520,Concord,CA,37.986321,-122.03988,"37.986321,-122.03988",6084,0
60085,Waukegan,IL,42.361271,-87.86187,"42.361271,-87.86187",5792,0
60110,Carpentersville,IL,42.121188,-88.27227,"42.121188,-88.27227",5483,0
93065,Simi Valley,CA,34.265003,-118.77177,"34.265003,-118.77177",6338,0
95129,San Jose,CA,37.307742,-121.99976,"37.307742,-121.99976",4197,0
99508,Anchorage,AK,61.203953,-149.8144,"61.203953,-149.8144",4894,0
08724,Brick,NJ,40.087794,-74.10981,"40.087794,-74.10981",5973,0
43228,Columbus,OH,39.954363,-83.123,"39.954363,-83.123",5278,0
92626,Costa Mesa,CA,33.677224,-117.90863,"33.677224,-117.90863",7152,0
37090,Lebanon,TN,36.147433,-86.31061,"36.147433,-86.31061",5470,0
